NAME,SLUG,LIFE-EXPECTANCY-AT-BIRTH,DATE-OF-INFORMATION,REAL-GDP-PER-CAPITA,MEDIAN-AGE,REGION
Iceland,iceland,83.64,,"$52,300 ",37.1,Europe
India,india,67.22,,"$6,100 ",28.7,South Asia
Indonesia,indonesia,73.08,,"$11,400 ",31.1,East and Southeast Asia
Iran,iran,75.25,,"$12,400 ",31.7,Middle East
Iraq,iraq,73.18,,"$9,300 ",21.2,Middle East
Ireland,ireland,81.66,,"$89,700 ",37.8,Europe
Isle of Man,isle-of-man,82.04,,"$84,600 ",44.6,Europe
Israel,israel,83.35,,"$38,300 ",30.4,Middle East
Italy,italy,82.59,,"$39,000 ",46.5,Europe
Jamaica,jamaica,75.75,,"$8,700 ",29.4,Central America and the Caribbean
Japan,japan,84.83,,"$41,400 ",48.6,East and Southeast Asia
Jersey,jersey,82.63,,"$56,600 ",37.5,Europe
Jordan,jordan,76.01,,"$9,800 ",23.5,Middle East
Kazakhstan,kazakhstan,72.53,,"$25,300 ",31.6,Central Asia
Kenya,kenya,69.69,,"$4,200 ",20,Africa
Kiribati,kiribati,67.9,,"$2,300 ",25.7,Australia and Oceania
"Korea, North",korea-north,71.77,,"$1,700 ",34.6,East and Southeast Asia
"Korea, South",korea-south,82.97,,"$42,300 ",43.2,East and Southeast Asia
Kosovo,kosovo,71.12,,"$10,800 ",30.5,Europe
Kuwait,kuwait,79.13,,"$49,900 ",29.7,Middle East
Kyrgyzstan,kyrgyzstan,72.35,,"$4,700 ",27.3,Central Asia
Laos,laos,68.15,,"$7,800 ",24,East and Southeast Asia
Latvia,latvia,75.91,,"$29,900 ",44.4,Europe
Lebanon,lebanon,78.76,,"$11,600 ",33.7,Middle East
Lesotho,lesotho,59.57,,"$2,300 ",24.7,Africa
Liberia,liberia,65.45,,"$1,400 ",18,Africa
Libya,libya,77.18,,"$10,300 ",25.8,Africa
Liechtenstein,liechtenstein,82.56,,"$139,100 ",43.7,Europe
Lithuania,lithuania,75.78,,"$36,700 ",44.5,Europe
Luxembourg,luxembourg,82.98,,"$110,300 ",39.5,Europe
Macau,macau,84.98,,"$54,800 ",40.8,East and Southeast Asia
Madagascar,madagascar,68.17,,"$1,500 ",20.3,Africa
Malawi,malawi,72.44,,"$1,500 ",16.8,Africa
Malaysia,malaysia,76.13,,"$26,400 ",29.2,East and Southeast Asia
Maldives,maldives,76.94,,"$13,000 ",29.5,South Asia
Mali,mali,62.41,,"$2,200 ",16,Africa
Malta,malta,83.2,,"$39,200 ",42.3,Europe
Marshall Islands,marshall-islands,74.65,,"$4,000 ",23.8,Australia and Oceania
Mauritania,mauritania,65.22,,"$5,000 ",21,Africa
Mauritius,mauritius,74.86,,"$19,500 ",36.3,Africa
Mexico,mexico,72.32,,"$17,900 ",29.3,North America
"Micronesia, Federated States of",micronesia-federated-states-of,74.44,,"$3,500 ",26.3,Australia and Oceania
Moldova,moldova,72.44,,"$12,300 ",37.7,Europe
Monaco,monaco,89.52,,"$115,700 ",55.4,Europe
Mongolia,mongolia,71.37,,"$11,500 ",29.8,East and Southeast Asia
Montenegro,montenegro,77.75,,"$18,300 ",39.6,Europe
Montserrat,montserrat,75.7,,"$34,000 ",34.8,Central America and the Caribbean
Morocco,morocco,73.68,,"$6,900 ",29.1,Africa
Mozambique,mozambique,57.1,,"$1,200 ",17,Africa
Namibia,namibia,66.47,,"$8,900 ",21.8,Africa
Nauru,nauru,67.93,,"$13,500 ",27,Australia and Oceania
Nepal,nepal,72.4,,"$3,800 ",25.3,South Asia
Netherlands,netherlands,82.16,,"$54,200 ",42.8,Europe
New Caledonia,new-caledonia,78.83,,"$31,100 ",32.9,Australia and Oceania
New Zealand,new-zealand,82.54,,"$42,400 ",37.2,Australia and Oceania
Nicaragua,nicaragua,74.78,,"$5,300 ",27.3,Central America and the Caribbean
Niger,niger,60.09,,"$1,200 ",14.8,Africa
Nigeria,nigeria,61.33,,"$4,900 ",18.6,Africa
North Macedonia,north-macedonia,76.84,,"$15,800 ",39,Europe
Northern Mariana Islands,northern-mariana-islands,76.58,,"$24,500 ",32.8,Australia and Oceania
Norway,norway,82.55,,"$63,600 ",39.5,Europe
Oman,oman,76.9,,"$27,300 ",26.2,Middle East
Pakistan,pakistan,69.67,,"$4,600 ",22,South Asia
Palau,palau,74.64,,"$17,600 ",33.9,Australia and Oceania
Panama,panama,77.62,,"$25,400 ",30.1,Central America and the Caribbean
Papua New Guinea,papua-new-guinea,69.43,,"$4,100 ",24,East and Southeast Asia
Paraguay,paraguay,78.37,,"$12,300 ",29.7,South America
Peru,peru,68.94,,"$11,300 ",29.1,South America
Philippines,philippines,70.14,,"$8,000 ",24.1,East and Southeast Asia
Poland,poland,78.76,,"$32,200 ",41.9,Europe
Portugal,portugal,81.5,,"$32,200 ",44.6,Europe
Puerto Rico,puerto-rico,81.68,,"$33,400 ",43.6,Central America and the Caribbean
Qatar,qatar,79.81,,"$85,300 ",33.7,Middle East
Romania,romania,75.75,,"$28,800 ",42.5,Europe
Russia,russia,72.44,,"$26,500 ",40.3,Central Asia
Rwanda,rwanda,65.85,,"$2,100 ",19.7,Africa
Saint Barthelemy,saint-barthelemy,80.58,,,45.6,Central America and the Caribbean
"Saint Helena, Ascension, and Tristan da Cunha",saint-helena-ascension-and-tristan-da-cunha,80.48,,"$7,800 ",43.2,Africa
Saint Kitts and Nevis,saint-kitts-and-nevis,77.08,,"$23,300 ",36.5,Central America and the Caribbean
Saint Lucia,saint-lucia,78.95,,"$12,300 ",36.9,Central America and the Caribbean
Saint Martin,saint-martin,80.58,,"$19,300 ",33.3,Central America and the Caribbean
Saint Pierre and Miquelon,saint-pierre-and-miquelon,81.41,,"$46,200 ",48.5,North America
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,76.68,,"$12,100 ",35.3,Central America and the Caribbean
Samoa,samoa,75.19,,"$6,300 ",25.6,Australia and Oceania
San Marino,san-marino,83.86,,"$60,800 ",45.2,Europe
Sao Tome and Principe,sao-tome-and-principe,67.06,,"$4,100 ",19.3,Africa
Saudi Arabia,saudi-arabia,76.65,,"$44,300 ",30.8,Middle East
Senegal,senegal,69.96,,"$3,300 ",19.4,Africa
Serbia,serbia,74.17,,"$18,200 ",43.4,Europe
Seychelles,seychelles,76.1,,"$24,400 ",36.8,Africa
Sierra Leone,sierra-leone,58.76,,"$1,600 ",19.1,Africa
Singapore,singapore,86.35,,"$93,400 ",35.6,East and Southeast Asia
Sint Maarten,sint-maarten,79.26,,"$35,300 ",41.1,Central America and the Caribbean
Slovakia,slovakia,78.31,,"$30,300 ",41.8,Europe
Slovenia,slovenia,81.82,,"$36,500 ",44.9,Europe
Solomon Islands,solomon-islands,76.7,,"$2,500 ",23.5,Australia and Oceania
Somalia,somalia,55.72,,$800 ,18.5,Africa
South Africa,south-africa,65.32,,"$11,500 ",28,Africa
South Sudan,south-sudan,59.16,,"$1,600 ",18.6,Africa
Spain,spain,82.55,,"$36,200 ",43.9,Europe
Sri Lanka,sri-lanka,78,,"$12,500 ",33.7,South Asia
Sudan,sudan,67.12,,"$4,000 ",18.3,Africa
Suriname,suriname,72.42,,"$16,100 ",31,South America
Sweden,sweden,82.7,,"$50,700 ",41.1,Europe
Switzerland,switzerland,83.23,,"$68,400 ",42.7,Europe
Syria,syria,74.28,,"$2,900 ",23.5,Middle East
Taiwan,taiwan,81.16,,"$24,502 ",42.3,East and Southeast Asia
Tajikistan,tajikistan,69.36,,"$3,700 ",25.3,Central Asia
Tanzania,tanzania,70.19,,"$2,600 ",18.2,Africa
Thailand,thailand,77.66,,"$17,300 ",39,East and Southeast Asia
Timor-Leste,timor-leste,69.92,,"$3,200 ",19.6,East and Southeast Asia
Togo,togo,71.36,,"$2,100 ",20,Africa
Tonga,tonga,77.53,,"$6,400 ",24.1,Australia and Oceania
Trinidad and Tobago,trinidad-and-tobago,75.94,,"$23,700 ",37.8,Central America and the Caribbean
Tunisia,tunisia,76.82,,"$9,700 ",32.7,Africa
Turkmenistan,turkmenistan,71.83,,"$15,500 ",29.2,Central Asia
Turks and Caicos Islands,turks-and-caicos-islands,80.82,,"$21,100 ",34.6,Central America and the Caribbean
Tuvalu,tuvalu,68.38,,"$4,400 ",26.6,Australia and Oceania
Uganda,uganda,68.96,,"$2,200 ",15.7,Africa
Ukraine,ukraine,73.45,,"$12,400 ",41.2,Europe
United Arab Emirates,united-arab-emirates,79.56,,"$67,100 ",38.4,Middle East
United Kingdom,united-kingdom,81.94,,"$41,600 ",40.6,Europe
United States,united-states,80.59,,"$60,200 ",38.5,North America
Uruguay,uruguay,78.43,,"$21,600 ",35.5,South America
Uzbekistan,uzbekistan,75.29,,"$7,000 ",30.1,Central Asia
Vanuatu,vanuatu,75.14,,"$2,800 ",23,Australia and Oceania
Venezuela,venezuela,73.29,,"$7,704 ",30,South America
Vietnam,vietnam,75.52,,"$8,200 ",31.9,East and Southeast Asia
Virgin Islands,virgin-islands,80.27,,"$37,000 ",41.8,Central America and the Caribbean
Wallis and Futuna,wallis-and-futuna,80.67,,"$3,800 ",34,Australia and Oceania
West Bank,west-bank,76.38,,"$5,400 ",21.9,Middle East
Yemen,yemen,67.51,,"$2,500 ",19.8,Middle East
Zambia,zambia,66.26,,"$3,300 ",16.9,Africa
Zimbabwe,zimbabwe,63.32,,"$2,700 ",20.5,Africa
